"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","skippedTestTwo()","","2026-07-10","skipped","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","skippedTestTwo"
"Environment metadata answers which browser, base URL and build produced the report.","4","environmentTemplateCarriesRunContext()","","2026-07-10","passed","2026-07-10","","org.reporting.ReportingInsightsTest","org.reporting.ReportingInsightsTest","environmentTemplateCarriesRunContext"
"Simple passing test.","5","passingTestThree()","","2026-07-10","passed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","passingTestThree"
"Fails with connection reset message so it matches the Flaky category.","26","flakyConnectionResetTest()","","2026-07-10","broken","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","flakyConnectionResetTest"
"Unexpected IndexOutOfBoundsException should appear as Broken.","8","brokenIndexOutOfBoundsTest()","","2026-07-10","broken","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","brokenIndexOutOfBoundsTest"
"Fails with stale element message so it matches the Flaky category.","5","flakyStaleElementTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","flakyStaleElementTest"
"","4","flakyTimeoutTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","flakyTimeoutTest"
"Fails with timeout message so it matches the Flaky category.","3","falckyTimeoutTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","falckyTimeoutTest"
"The leadership view is the Overview page once categories, history, severity and environment exist.","1","executiveViewNeedsFourSignals()","","2026-07-10","passed","2026-07-10","","org.reporting.ReportingInsightsTest","org.reporting.ReportingInsightsTest","executiveViewNeedsFourSignals"
"Unexpected NullPointerException should appear as Broken.","2","brokenNullPointerTest()","","2026-07-10","broken","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","brokenNullPointerTest"
"","0","skippedTestOne()","","2026-07-10","skipped","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","skippedTestOne"
"Intentional assertion failure representing a product defect.","4","productFailureCheckoutTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","productFailureCheckoutTest"
"Simple passing test.","3","passingTestOne()","","2026-07-10","passed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","passingTestOne"
"Intentional assertion failure representing a product defect.","11","productFailureLoginTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","productFailureLoginTest"
"Categories split flaky, test and product failures so each bucket has an owner.","3","categoriesPutSpecificFlakyRuleBeforeGenericBuckets()","","2026-07-10","passed","2026-07-10","","org.reporting.ReportingInsightsTest","org.reporting.ReportingInsightsTest","categoriesPutSpecificFlakyRuleBeforeGenericBuckets"
"Simple passing test.","2","passingTestTwo()","","2026-07-10","passed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","passingTestTwo"
"Intentional assertion failure representing a product defect.","3","productFailurePriceCalculationTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","productFailurePriceCalculationTest"
"Unexpected ArithmeticException should appear as Broken.","2","brokenArithmeticTest()","","2026-07-10","broken","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","brokenArithmeticTest"
